Image_id,Split,Label
03hnkjxhh2w83-IN.jpg,test,swift
03jxnlgy0jof3-IN.jpg,test,swift
07wx78v7q2xq-IN.jpg,test,swift
0aa2pr4uspgv1-IN.jpg,test,swift
0d2vshwzpl47-IN.jpg,test,swift
0h25y93uxltq2-IN.jpg,test,swift
0jsbaz6cn5ej2-IN.jpg,test,swift
0k1qauxe04wh2-IN.jpg,test,swift
0kyhgeg8ei7o-IN.jpg,test,swift
0rwyuwdhxq263-IN.jpg,test,swift
0y1uw00h8qgp1-IN.jpg,test,swift
10g41cpjyura2-IN.jpg,test,swift
10ummzdgi5em1-IN.jpg,test,swift
17332v9hsoq01-IN.jpg,test,swift
19pvkwwtmo3q1-IN.jpg,test,swift
1c5aeixlnhot-IN.jpg,test,swift
1fc78cf7ab4k3-IN.jpg,test,swift
1fcoy2r6qauz1-IN.jpg,test,swift
1larjy0s41bw2-IN.jpg,test,swift
1lkp95rc2fhh1-IN.jpg,test,swift
1o81dl1qgylg2-IN.jpg,test,swift
24713eppnc4f1-IN.jpg,test,swift
2bytmdv9r1k63-IN.jpg,test,swift
2e6wjwkcjikz1-IN.jpg,test,swift
2gr3tm7brc7l1-IN.jpg,test,swift
2i5ysdbxqd5v3-IN.jpg,test,swift
2lbjaj4f79wr1-IN.jpg,test,swift
2o5oje5nahoj-IN.jpg,test,swift
2s9mkx1n0m2p1-IN.jpg,test,swift
2zw10jkow438-IN.jpg,test,swift
3iw9cc9rcce82-IN.jpg,test,swift
3jtltglpetvp3-IN.jpg,test,swift
3wkgcqskrdro3-IN.jpg,test,swift
3yg3ujbmh2m01-IN.jpg,test,swift
3yo2eld7fcr61-IN.jpg,test,swift
3zik37iuid4y2-IN.jpg,test,swift
40pig8ajhwx5-IN.jpg,test,swift
41f5tma8uud31-IN.jpg,test,swift
4308p5uvvr2u1-IN.jpg,test,swift
4ix0ifpmfsxi3-IN.jpg,test,swift
4kswt9ftk5px1-IN.jpg,test,swift
4myme9nl6n982-IN.jpg,test,swift
4o8znx8lcev8-IN.jpg,test,swift
4oimzmitc8w53-IN.jpg,test,swift
51iw64iyicrt2-IN.jpg,test,swift
573zosr34jsf1-IN.jpg,test,swift
5ax8ro14l515-IN.jpg,test,swift
5azdrjxkvtdf-IN.jpg,test,swift
5wgycgg9x2qb-IN.jpg,test,swift
5xjkls3rdouy-IN.jpg,test,swift
5y8hc6xqbqqq2-IN.jpg,test,swift
60zyy0s404ss1-IN.jpg,test,swift
62oaqkhfif3z2-IN.jpg,test,swift
6hhnh8ua5sjs2-IN.jpg,test,swift
6hrwmj0vhrtl3-IN.jpg,test,swift
6j0hydwblqfr1-IN.jpg,test,swift
6l24cc6vq0w61-IN.jpg,test,swift
6m7i4o1n8han1-IN.jpg,test,swift
6mu2iwzoaakm-IN.jpg,test,swift
6oj0jixigoby-IN.jpg,test,swift
6shprdsccdbn-IN.jpg,test,swift
6uz696pdm6yj1-IN.jpg,test,swift
704to7zplu4m-IN.jpg,test,swift
714gqhe1qwul2-IN.jpg,test,swift
730g741ixe491-IN.jpg,test,swift
73emzkoz03ty1-IN.jpg,test,swift
758uclgtctzc3-IN.jpg,test,swift
78cgxrdofbku1-IN.jpg,test,swift
7cz6m51f612e2-IN.jpg,test,swift
7g47x2f7jzqm2-IN.jpg,test,swift
7gctqvrzb5pc3-IN.jpg,test,swift
7lleg8gxhy4t2-IN.jpg,test,swift
7smnoh6wmo1e1-IN.jpg,test,swift
82ggrtpf85ps-IN.jpg,test,swift
871aa2xzlkmi1-IN.jpg,test,swift
88259w56dzpt2-IN.jpg,test,swift
88oxn0udtb9x2-IN.jpg,test,swift
8achnsos0nwu1-IN.jpg,test,swift
8bxrojjd6v6s3-IN.jpg,test,swift
8gossv4b56tg3-IN.jpg,test,swift
8itda0nq4u5r1-IN.jpg,test,swift
8tgyvw4smlz43-IN.jpg,test,swift
